"","Year","Month","YearMon","number_encounters","threemonth_spi","prevyear_spi","average_rainfall","season","Month_categorical","Year_categorical","dyad_id","threeseason","fourseason","dyad_species"
"1",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Accra-FThree","Cold Dry","Cold Wet","Dog-Lion"
"2",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Accra-Valentina","Cold Dry","Cold Wet","Dog-Lion"
"3",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Brian-FThree","Cold Dry","Cold Wet","Dog-Lion"
"4",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Brian-Valentina","Cold Dry","Cold Wet","Dog-Lion"
"5",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Kigali-FThree","Cold Dry","Cold Wet","Dog-Lion"
"6",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Kigali-Valentina","Cold Dry","Cold Wet","Dog-Lion"
"7",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Kobe-FThree","Cold Dry","Cold Wet","Dog-Lion"
"8",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","MJ-FThree","Cold Dry","Cold Wet","Dog-Lion"
"9",2012,5,"2012-05",2,-0.43,0.16,0,"Wet","May","2012","Scorpion-FThree","Cold Dry","Cold Wet","Dog-Lion"
"10",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Scorpion-Valentina","Cold Dry","Cold Wet","Dog-Lion"
"11",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Timbuktu-FThree","Cold Dry","Cold Wet","Dog-Lion"
"12",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Yolo-FThree","Cold Dry","Cold Wet","Dog-Lion"
"13",2012,5,"2012-05",1,-0.43,0.16,0,"Wet","May","2012","Yolo-Valentina","Cold Dry","Cold Wet","Dog-Lion"
