"","id","id_simple","sex","pack","species","isopleth","hr_area","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","date.begin","date.end","year","YearMon","Month","season","label","Sex","Pack","Species","social_group","Month_categorical","Year_categorical","threeseason","fourseason","average_rainfall"
"1","Adiga1","Adiga","M","MMB","African Wild Dog","BB95",149.013819574707,0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,2013-08-07 15:10:43,2013-09-07 15:10:43,2013,"2013-08",8,"Dry","2013 Dry 1","M","MMB","African Wild Dog","MMB","Aug","2013","Hot Dry","Cold Dry",0
"2","Adiga1","Adiga","M","MMB","African Wild Dog","BB50",13.477767534668,0,1.17,-0.96,-0.66,-0.66,0,-1.06581410364015e-14,8.99999999999999,861.45,350.45,2013-08-07 15:10:43,2013-09-07 15:10:43,2013,"2013-08",8,"Dry","2013 Dry 1","M","MMB","African Wild Dog","MMB","Aug","2013","Hot Dry","Cold Dry",0
"3","Adiga1","Adiga","M","MMB","African Wild Dog","BB95",68.3873878725586,-0.51,-0.59,-0.65,-0.4,-0.66,2,1.99999999999999,1.99999999999999,827.95,345.95,2013-10-08 18:10:43,2013-11-08 15:10:43,2013,"2013-10",10,"Dry","2013 Dry 3","M","MMB","African Wild Dog","MMB","Oct","2013","Hot Dry","Hot Dry",12.125
"4","Adiga1","Adiga","M","MMB","African Wild Dog","BB50",10.2158340825195,-0.51,-0.59,-0.65,-0.4,-0.66,2,1.99999999999999,1.99999999999999,827.95,345.95,2013-10-08 18:10:43,2013-11-08 15:10:43,2013,"2013-10",10,"Dry","2013 Dry 3","M","MMB","African Wild Dog","MMB","Oct","2013","Hot Dry","Hot Dry",12.125
"5","Adiga1","Adiga","M","MMB","African Wild Dog","BB95",136.770928178711,0.91,0.91,-0.7,-0.66,-0.66,0,-1.06581410364015e-14,-1.06581410364015e-14,853.45,350.45,2013-09-07 18:10:43,2013-10-08 15:10:43,2013,"2013-09",9,"Dry","2013 Dry 2","M","MMB","African Wild Dog","MMB","Sep","2013","Hot Dry","Hot Dry",0.625
"6","Adiga1","Adiga","M","MMB","African Wild Dog","BB50",12.7235192504883,0.91,0.91,-0.7,-0.66,-0.66,0,-1.06581410364015e-14,-1.06581410364015e-14,853.45,350.45,2013-09-07 18:10:43,2013-10-08 15:10:43,2013,"2013-09",9,"Dry","2013 Dry 2","M","MMB","African Wild Dog","MMB","Sep","2013","Hot Dry","Hot Dry",0.625
"7","Adiga1","Adiga","M","MMB","African Wild Dog","BB95",154.927207589844,0.67,0.67,0.66,0.12,-0.22,145.45,228.45,228.45,795.4,474.15,2013-12-01 00:10:43,2013-12-31 18:10:43,2013,"2013-12",12,"Wet","2014 Wet 1","M","MMB","African Wild Dog","MMB","Dec","2013","Wet","Hot Wet",126.070769230769
"8","Adiga1","Adiga","M","MMB","African Wild Dog","BB50",24.9213310688477,0.67,0.67,0.66,0.12,-0.22,145.45,228.45,228.45,795.4,474.15,2013-12-01 00:10:43,2013-12-31 18:10:43,2013,"2013-12",12,"Wet","2014 Wet 1","M","MMB","African Wild Dog","MMB","Dec","2013","Wet","Hot Wet",126.070769230769
"9","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",138.169432439453,0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,2014-08-01 01:13:37,2014-09-01 01:13:37,2014,"2014-08",8,"Dry","2014 Dry 1","M","MMB","African Wild Dog","MMB","Aug","2014","Hot Dry","Cold Dry",0
"10","Adiga2","Adiga","M","MMB","African Wild Dog","BB50",40.1471846962891,1.18,0.1,-0.33,-0.41,-0.58,47.2,170.7,395.7,1104.15,395.7,2015-04-04 04:13:37,2015-04-30 22:13:37,2015,"2015-04",4,"Wet","2015 Wet 5","M","MMB","African Wild Dog","MMB","Apr","2015","Cold Dry","Cold Wet",30.75
"11","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",95.4035685732422,0,1.17,0.76,-0.41,-0.41,0,-1.4210854715202e-14,153.7,1104.15,395.7,2015-08-01 02:14:58,2015-09-01 02:14:58,2015,"2015-08",8,"Dry","2015 Dry 1","M","MMB","African Wild Dog","MMB","Aug","2015","Hot Dry","Cold Dry",0
"12","Adiga2","Adiga","M","MMB","African Wild Dog","BB50",7.60028602050781,0,1.17,0.77,0.88,0.88,0,0,155.5,1058.9,708.45,2014-08-01 01:13:37,2014-09-01 01:13:37,2014,"2014-08",8,"Dry","2014 Dry 1","M","MMB","African Wild Dog","MMB","Aug","2014","Hot Dry","Cold Dry",0
"13","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",154.954073847656,-0.54,-0.8,-0.81,0.62,0.76,23.9,23.9,23.9000000000001,1051.05,649.35,2014-11-02 04:13:37,2014-11-30 22:13:37,2014,"2014-11",11,"Dry","2014 Dry 4","M","MMB","African Wild Dog","MMB","Nov","2014","Hot Dry","Hot Dry",38.3230769230769
"14","Adiga2","Adiga","M","MMB","African Wild Dog","BB50",26.1643553891602,-0.54,-0.8,-0.81,0.62,0.76,23.9,23.9,23.9000000000001,1051.05,649.35,2014-11-02 04:13:37,2014-11-30 22:13:37,2014,"2014-11",11,"Dry","2014 Dry 4","M","MMB","African Wild Dog","MMB","Nov","2014","Hot Dry","Hot Dry",38.3230769230769
"15","Adiga2","Adiga","M","MMB","African Wild Dog","BB50",8.79911869482422,0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,2014-09-01 04:13:37,2014-10-02 01:13:37,2014,"2014-09",9,"Dry","2014 Dry 2","M","MMB","African Wild Dog","MMB","Sep","2014","Hot Dry","Hot Dry",0.625
"16","Adiga2","Adiga","M","MMB","African Wild Dog","BB50",3.33071170214844,0,1.17,0.76,-0.41,-0.41,0,-1.4210854715202e-14,153.7,1104.15,395.7,2015-08-01 02:14:58,2015-09-01 02:14:58,2015,"2015-08",8,"Dry","2015 Dry 1","M","MMB","African Wild Dog","MMB","Aug","2015","Hot Dry","Cold Dry",0
"17","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",95.112087284668,0.91,0.91,-0.14,0.88,0.88,0,0,11.0000000000001,1058.9,708.45,2014-09-01 04:13:37,2014-10-02 01:13:37,2014,"2014-09",9,"Dry","2014 Dry 2","M","MMB","African Wild Dog","MMB","Sep","2014","Hot Dry","Hot Dry",0.625
"18","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",293.207578090332,1.18,0.1,-0.33,-0.41,-0.58,47.2,170.7,395.7,1104.15,395.7,2015-04-04 04:13:37,2015-04-30 22:13:37,2015,"2015-04",4,"Wet","2015 Wet 5","M","MMB","African Wild Dog","MMB","Apr","2015","Cold Dry","Cold Wet",30.75
"19","Adiga2","Adiga","M","MMB","African Wild Dog","BB50",2.26355166113281,0.94,0.34,0.33,0.7,0.76,153.8,177.7,177.7,1131.85,657.7,2014-12-01 01:13:37,2015-01-01 01:13:37,2014,"2014-12",12,"Wet","2015 Wet 1","M","MMB","African Wild Dog","MMB","Dec","2014","Wet","Hot Wet",126.070769230769
"20","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",200.342624026855,0.63,-0.48,-0.56,-0.58,-0.36,106.5,170.8,348.5,1056.95,359.5,2015-03-04 04:13:37,2015-04-04 01:13:37,2015,"2015-03",3,"Wet","2015 Wet 4","M","MMB","African Wild Dog","MMB","Mar","2015","Wet","Cold Wet",94.0271428571429
"21","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",157.965903848145,-0.8,-0.91,-1.03,0.76,0.88,0,0,5.6843418860808e-14,1052.4,706.45,2014-10-02 04:13:37,2014-11-02 01:13:37,2014,"2014-10",10,"Dry","2014 Dry 3","M","MMB","African Wild Dog","MMB","Oct","2014","Hot Dry","Hot Dry",12.125
"22","Adiga2","Adiga","M","MMB","African Wild Dog","BB50",16.5316546020508,-0.8,-0.91,-1.03,0.76,0.88,0,0,5.6843418860808e-14,1052.4,706.45,2014-10-02 04:13:37,2014-11-02 01:13:37,2014,"2014-10",10,"Dry","2014 Dry 3","M","MMB","African Wild Dog","MMB","Oct","2014","Hot Dry","Hot Dry",12.125
"23","Adiga2","Adiga","M","MMB","African Wild Dog","BB50",20.9936044887695,-0.92,-0.38,-0.49,0,0.7,47.3,225,225,960.15,471.25,2015-01-01 04:13:37,2015-02-01 01:13:37,2015,"2015-01",1,"Wet","2015 Wet 2","M","MMB","African Wild Dog","MMB","Jan","2015","Wet","Hot Wet",138.971428571429
"24","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",231.519691596191,-0.92,-0.38,-0.49,0,0.7,47.3,225,225,960.15,471.25,2015-01-01 04:13:37,2015-02-01 01:13:37,2015,"2015-01",1,"Wet","2015 Wet 2","M","MMB","African Wild Dog","MMB","Jan","2015","Wet","Hot Wet",138.971428571429
"25","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",161.01642394873,0.94,0.34,0.33,0.7,0.76,153.8,177.7,177.7,1131.85,657.7,2014-12-01 01:13:37,2015-01-01 01:13:37,2014,"2014-12",12,"Wet","2015 Wet 1","M","MMB","African Wild Dog","MMB","Dec","2014","Wet","Hot Wet",126.070769230769
"26","Adiga2","Adiga","M","MMB","African Wild Dog","BB95",199.001613861816,-0.95,-0.69,-0.86,-0.36,0,17,218.1,242,959.45,397.5,2015-02-01 04:13:37,2015-03-04 01:13:37,2015,"2015-02",2,"Wet","2015 Wet 3","M","MMB","African Wild Dog","MMB","Feb","2015","Wet","Hot Wet",97.4785714285714
