"","X","Var1","Var2","id_1","id_2","name_1","name_2","Species_1","Species_2","dyad_id","overlap","year","Month","YearMon","season","label","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","dyad_species","Month_categorical","Year_categorical","average_rainfall","threeseason","fourseason","Month_factor"
"1",1,"Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.0869677505944911,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Leopard-Lion","Apr",2012,30.75,"Cold Dry","Cold Wet",4
"2",4,"SaF03_1","Yolo1","SaF03","Yolo","Lion 10","Dog 29","Lion","Dog","SaF03-Yolo",0.0360214798542747,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Lion","Apr",2012,30.75,"Cold Dry","Cold Wet",4
"3",5,"Bobedi","SaF03_1","Bobedi","SaF03","Dog 7","Lion 10","Dog","Lion","Bobedi-SaF03",0.0074381805836465,2012,1,"2012-01","Wet","2012 Wet 2",-0.42,0.46,0.6,0.65,1.46,78,337,372.5,1659.25,620.75,"Dog-Lion","Jan",2012,138.971428571429,"Wet","Hot Wet",1
"4",6,"Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.0751094616309128,2012,5,"2012-05","Wet","2012 Wet 2",1.03,-0.43,0.06,0.16,0.16,0,45,419,1319.75,511,"Leopard-Lion","May",2012,0,"Cold Dry","Cold Wet",5
"5",8,"Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.158222553914821,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Leopard-Lion","Jun",2012,6.53571428571429,"Cold Dry","Cold Dry",6
"6",12,"Chloe1","Goose1","Chloe","Goose","Lion 3","Leopard 3","Lion","Leopard","Chloe-Goose",0.0504768428663103,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Leopard-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"7",13,"Doohan","Lea2","Doohan","Lea","Lion 4","Cheetah 3","Lion","Cheetah","Doohan-Lea",0.0375497521555364,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"8",14,"Doohan","Fredericks","Doohan","Fredericks","Lion 4","Cheetah 2","Lion","Cheetah","Doohan-Fredericks",0.0684881188267258,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"9",15,"Doohan","Ferrari","Doohan","Ferrari","Lion 4","Cheetah 1","Lion","Cheetah","Doohan-Ferrari",0.12897611818047,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
"10",17,"Ferrari","SaF03_1","Ferrari","SaF03","Cheetah 1","Lion 10","Cheetah","Lion","Ferrari-SaF03",0.0540984794361407,2012,6,"2012-06","Dry","2012 Dry 1",1.17,-0.6,-0.29,0.16,0.16,0,0,216.5,1319.75,511,"Cheetah-Lion","Jun",2012,6.53571428571429,"Cold Dry","Cold Dry",6
"11",18,"Fredericks","SaF07","Fredericks","SaF07","Cheetah 2","Lion 12","Cheetah","Lion","Fredericks-SaF07",0.0709153270808037,2012,8,"2012-08","Dry","2012 Dry 1",0,1.17,-0.43,0.16,0.16,0,0,45,1319.75,511,"Cheetah-Lion","Aug",2012,0,"Hot Dry","Cold Dry",8
