"","Var1","Var2","id_1","id_2","name_1","name_2","Species_1","Species_2","dyad_id","overlap","year","Month","YearMon","season","label","monthly_spi","threemonth_spi","sixmonth_spi","prevyear_spi","twoyearlag_spi","prcp_monthly","prcp_threemonth","prcp_sixmonth","prcp_twoyear","prcp_annual","dyad_species","Month_categorical","Year_categorical","average_rainfall","threeseason","fourseason","Month_factor"
"1","Bobedi","SaF03_1","Bobedi","SaF03","Dog 7","Lion 10","Dog","Lion","Bobedi-SaF03",0.0400552804753877,2011,12,"2011-12","Wet","2012 Wet 1",1.49,1.19,1.23,1.46,1.25,202.5,286.5,294.5,1700.25,940.75,"Dog-Lion","Dec","2011",126.070769230769,"Wet","Hot Wet","12"
"2","Chalak","Yolo1","Chalak","Yolo","Leopard 1","Dog 29","Leopard","Dog","Chalak-Yolo",0.181612942617602,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Leopard","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"3","Chalak","Priya2","Chalak","Priya","Leopard 1","Cheetah 4","Leopard","Cheetah","Chalak-Priya",0.236899229958546,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Cheetah-Leopard","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"4","Chalak","SaF03_1","Chalak","SaF03","Leopard 1","Lion 10","Leopard","Lion","Chalak-SaF03",0.09191810022047,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Leopard-Lion","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"5","Goose1","SaF03_1","Goose","SaF03","Leopard 3","Lion 10","Leopard","Lion","Goose-SaF03",0.319095548172104,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Leopard-Lion","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"6","Goose1","Yolo1","Goose","Yolo","Leopard 3","Dog 29","Leopard","Dog","Goose-Yolo",0.413730652090489,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Leopard","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"7","Goose1","Priya2","Goose","Priya","Leopard 3","Cheetah 4","Leopard","Cheetah","Goose-Priya",0.268627908340983,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Cheetah-Leopard","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"8","Goose1","Jesus","Goose","Jesus","Leopard 3","Dog 15","Leopard","Dog","Goose-Jesus",0.0375947376271615,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Leopard","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"9","Jesus","SaF03_1","Jesus","SaF03","Dog 15","Lion 10","Dog","Lion","Jesus-SaF03",0.0125545171670566,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Dog-Lion","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
"10","Priya2","Yolo1","Priya","Yolo","Cheetah 4","Dog 29","Cheetah","Dog","Priya-Yolo",0.237041277129559,2012,4,"2012-04","Wet","2012 Wet 1",-0.43,-0.14,0.08,0.16,0.29,0,138.5,475.5,1319.75,511,"Cheetah-Dog","Apr","2012",30.75,"Cold Dry","Cold Wet","4"
